Packets,Bytes,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Bits/s A to B,Bits/s B to A
1573,39405163,643,43877,930,39361286,3165334.362,2839565857
192,1076773,93,6786,99,1069987,949356.1977,149690361
207,1115163,91,6348,116,1108815,1246624.768,217749880.6
379,5234289,184,13301,195,5220988,2278576.1,894400306.3
417,6073897,181,12585,236,6061312,7737964.901,3726835082
755,10890023,372,25907,383,10864116,6566237.142,2753555487
373,25983,370,25469,3,514,7122657.709,143745.1829
467,13021422,0,0,467,13021422,0,3918244761
221,4696143,91,6743,130,4689400,2032078.007,1413202819
236,4818543,90,6381,146,4812162,2583763.007,1948516872
1699,31882235,723,49787,976,31832448,3354717.973,2144915047
1816,37656999,720,49281,1096,37607718,3791912.119,2893714852
83,402341,42,3250,41,399091,869760.3171,106804158.4
103,503305,39,2736,64,500569,1148689.477,210160213
465,6454751,187,13375,278,6441376,3258558.749,1569316046
497,6991421,186,13005,311,6978416,3950700.093,2119925316
551,11520217,227,16753,324,11503464,4365296.609,2997435229
578,13515303,220,15113,358,13500190,4242803.431,3790025306
924,19279135,388,27055,536,19252080,3997283.384,2844428737
1010,23199521,385,26549,625,23172972,4218287.856,3681881291
1680,37867975,649,44875,1031,37823100,3338711.294,2814048159
1821,44329473,645,44301,1176,44285172,4425261.309,4423680237
186,1074933,84,6190,102,1068743,736381.7555,127141009.1
204,1118275,82,5752,122,1112523,1167568.778,225825298.9
524,7756843,218,15587,306,7741256,2274346.451,1129550145
555,8435039,216,15149,339,8419890,4351882.554,2418798099
620,9168607,256,18063,364,9150544,3948392.631,2000218153
691,10737391,254,17625,437,10719766,4726266.7,2874580033
1143,24402403,476,32521,667,24369882,4180318.04,3132556113
1065,20150815,474,32747,591,20118068,4352776.903,2674121652
2266,51069910,884,61334,1382,51008576,4182882.442,3478704746
2333,55241588,878,59964,1455,55181624,4742042.035,4363844650
139,1066256,66,5086,73,1061170,3069010.111,640334537.8
137,1066406,64,4648,73,1061758,0,0
320,4552515,146,10443,174,4542072,3600795.464,1566127766
352,5160023,144,10005,208,5150018,3743212.446,1926797749
697,13082628,309,22100,388,13060528,2745800.129,1622696809
745,15771339,304,20817,441,15750522,2684767.946,2031344411
2734,42863895,1293,88643,1441,42775252,3795018.991,1831310918
2823,47480209,1287,87933,1536,47392276,3989355.503,2150098792
1949,50784963,749,51651,1200,50733312,4285631.787,4209488578
2063,56082355,745,51077,1318,56031278,4577512.324,5021513902
146,684869,66,5502,80,679367,1953224.324,241177053.7
158,716177,61,4312,97,711865,2452914.927,404949973.2
99,1654507,43,3379,56,1651128,1078314.42,526911847
114,2632927,41,2941,73,2629986,1930892.941,1726698879
603,10341803,252,17751,351,10324052,3164925.755,1840733371
641,12003705,252,17469,389,11986236,3453384.864,2369516628
913,16881959,398,27651,515,16854308,4186776.077,2551994992
1098,25354567,398,27349,700,25327218,4505812.319,4172718961
2839,57117400,1194,82300,1645,57035100,7625143.233,5284335441
2905,60391546,1192,81088,1713,60310458,7630708.275,5675457662
79,300357,44,3642,35,296715,3797484.688,309382391.3
74,357921,40,2976,34,354945,0,0
460,6098047,206,14591,254,6083456,4732427.769,1973100960
513,6951609,205,14221,308,6937388,5521270.051,2693424696
462,7515501,218,16141,244,7499360,4054854.588,1883948597
488,9508575,210,14433,278,9494142,3831010.829,2520069342
853,17877056,375,25600,478,17851456,3370332.83,2350208915
942,22872972,372,25304,570,22847668,3429332.287,3096437146
1989,40604781,845,58981,1144,40545800,4743699.737,3261001014
2102,45994473,835,57137,1267,45937336,4974018.822,3999040445
95,310041,46,3446,49,306595,1121761.406,99804538.12
118,418131,46,3256,72,414875,1065322.798,135741952.1
285,3173147,132,10671,153,3162476,3795709.312,1124902971
307,3639433,125,8837,182,3630596,4729278.95,1942978527
803,9794835,324,22679,479,9772156,5906697.349,2545137261
833,10808349,323,22309,510,10786040,6005276.455,2903453855
738,15360206,310,21550,428,15338656,3084256.098,2195282752
813,17807436,309,21188,504,17786248,3547337.665,2977809488
2564,54456359,1057,72603,1507,54383756,5595533.192,4191371042
2629,56739325,1057,72301,1572,56667024,6506695.735,5099723149
211,711293,85,6246,126,705047,1194303.939,134812745.6
228,756205,81,5660,147,750545,1368602.866,181483752.3
192,3192997,83,6961,109,3186036,1806483.357,826823877.3
203,4338627,78,5457,125,4333170,3907612.218,3102867516
186,3554805,81,5745,105,3549060,1753573.077,1083296095
210,4999194,80,5448,130,4993746,1772254.266,1624483784
1605,38949666,643,44226,962,38905440,5318328.111,4678512531
1649,41264600,637,43508,1012,41221092,5666047.77,5368223692
2380,42864523,1006,69067,1374,42795456,4734447.612,2933569497
2499,47143621,1006,68765,1493,47074856,4888091.563,3346269272
153,796245,65,4910,88,791335,1327407.625,213935664.6
163,861707,63,4472,100,857235,1428558.309,273839486
