Packets,Bytes,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Bits/s A to B,Bits/s B to A
182,1077497,88,6402,94,1071095,1102427.519,184443080.8
203,1125757,86,5964,117,1119793,1482078.167,278273098.1
344,3857561,138,10761,206,3846800,2458457.907,878839873.3
373,4753899,131,9121,242,4744778,4897699.904,2547801640
885,15112231,353,24671,532,15087560,5754401.453,3519106530
951,16695559,350,24165,601,16671394,6279536.633,4332242059
514,11259460,232,16452,282,11243008,1918777.329,1311258744
579,15334343,227,15589,352,15318754,1994172.045,1959601706
1813,45400099,721,49483,1092,45350616,4388130.269,4021672307
1889,50045707,717,48909,1172,49996798,4405824.257,4503815359
57,400315,31,3212,26,397103,3861243.475,477369666.1
56,529993,25,1844,31,528149,0,0
398,6492532,174,12164,224,6480368,3046981.415,1623278597
442,7475429,177,12429,265,7463000,3470200.917,2083684081
1359,22874913,539,38209,820,22836704,7610400.439,4548573952
1392,23499285,533,36637,859,23462648,8222577.407,5265808864
1361,19877359,648,44699,713,19832660,6117140.071,2714135869
1515,23710379,646,44261,869,23666118,6707831.783,3586641479
1473,33371695,589,40719,884,33330976,2965208.42,2427203288
1601,38679163,583,40009,1018,38639154,3684380.236,3558232781
82,312198,38,3062,44,309136,1515863.347,153039820.9
99,389507,38,2760,61,386747,1532895.181,214798048
233,3141398,104,8074,129,3133324,4049445.972,1571491981
255,3620705,99,7009,156,3613696,3592009.202,1851965942
584,12236571,252,17499,332,12219072,4936312.465,3446891675
637,15552450,249,16940,388,15535510,5241825.217,4807227159
955,17216259,429,29747,526,17186512,2359777.873,1363376163
1064,20658211,426,29241,638,20628970,3290557.409,2321425741
2273,48550591,974,66939,1299,48483652,5593990.908,4051705410
2356,52057533,971,66433,1385,51991100,5678117.965,4443749325
188,939769,77,5830,111,933939,1009396.455,161700637.4
208,1018791,75,5392,133,1013399,1816881.693,341473681.6
280,3606444,114,8876,166,3597568,5068170.273,2054200901
306,5007898,111,7692,195,5000206,4404749.336,2863319560
604,11207394,264,18442,340,11188952,3464317.711,2101837359
648,12861242,261,17936,387,12843306,3880688.937,2778817769
906,20275839,378,26303,528,20249536,2825671.976,2175361989
991,24434975,376,25865,615,24409110,3125008.212,2949107643
1575,34352827,629,43435,946,34309392,3458043.463,2731515338
1674,38504475,631,43261,1043,38461214,3900066.487,3467356089
114,529350,58,5270,56,524080,972570.4229,96718160.76
128,619609,52,3700,76,615909,1102014.938,183443491.4
197,3535578,89,6922,108,3528656,2286885.433,1165794858
212,4343071,85,5933,127,4337138,1968736.641,1439184645
590,8210047,248,17503,342,8192544,3006812.011,1407383860
664,10341835,245,16997,419,10324838,4267838.303,2592500976
575,14567441,252,18453,323,14548988,3136488.03,2472916420
617,17629187,245,16813,372,17612374,2971527.45,3112808707
1354,26522969,544,37857,810,26485112,3481321.891,2435565422
1484,33235095,545,37421,939,33197674,3533146.951,3134396747
211,1076633,98,7142,113,1069491,1275642.169,191023217.5
225,1107177,96,6704,129,1100473,2111457.658,346599365
490,5509405,228,16893,262,5492512,2776495.559,902736942.9
538,6411261,224,15457,314,6395804,4120898.668,1705147194
835,17532430,340,23538,495,17508892,4581966.042,3408324776
858,18808936,337,23032,521,18785904,4742268.238,3868000862
1009,21548927,427,29503,582,21519424,4083323.932,2978367590
1079,25622299,425,29065,654,25593234,4201207.56,3699380291
1448,27946916,659,44904,789,27902012,3432262.087,2132705726
1557,33990316,648,44064,909,33946252,3415735.478,2631431946
158,626933,75,5578,83,621355,1561976.923,173994652.4
174,682122,73,5140,101,676982,1627336.016,214334083.8
428,5299833,172,13097,256,5286736,2702682.346,1090964958
452,6058741,165,11457,287,6047284,2815048.149,1485851063
734,11698142,271,18986,463,11679156,3502890.39,2154787913
779,13407657,270,18761,509,13388896,4380549.401,3126204379
1451,27656215,600,41435,851,27614780,5773200.545,3847608614
1557,31764061,595,40781,962,31723280,5850396.212,4550985928
1336,28997043,534,37027,802,28960016,3535034.253,2764864789
1458,33883031,528,36317,930,33846714,3586677.425,3342711265
125,381601,59,5354,66,376247,1464182.197,102893940.8
134,416341,54,3860,80,412481,1185290.044,126660524
356,2156153,136,10625,220,2145528,3530183.421,712857164.8
373,2492977,131,9121,242,2483856,3694308.432,1006044311
721,15345091,291,19941,430,15325150,3878677.681,2980859399
692,13977927,295,21067,397,13956860,4267958.271,2827516783
1855,29675867,866,59591,989,29616276,7183560.194,3570175049
2106,39041739,868,59425,1238,38982314,9154318.334,6005157960
1402,32981595,589,40663,813,32940932,3309459.029,2680979387
1520,37171755,586,40157,934,37131598,3801397.859,3515003041
55,316157,28,3218,27,312939,1428451.577,138911811.1
54,368461,22,1648,32,366813,1657815.303,368997697
610,5071289,233,16349,377,5054940,3507089.312,1084355376
637,5560985,232,16181,405,5544804,4603417.051,1577470198
432,8810025,189,14741,243,8795284,3223019.897,1923029328
454,10758887,178,12257,276,10746630,3448620.285,3023663719
1042,30415881,396,28257,646,30387624,3754867.12,4037990240
1111,34794263,392,26821,719,34767442,3676367.155,4765589719
1220,27230878,531,36986,689,27193892,3562507.493,2619327422
1316,32889387,527,35989,789,32853398,3514774.831,3208544177
121,473001,57,4282,64,468719,1100842.063,120501072.1
147,572539,54,3776,93,568763,1328151.456,200053868.2
276,4181969,130,10057,146,4171912,4411288.504,1829920199
287,4791043,125,8653,162,4782390,3808126.618,2104697406
1182,17210043,480,33299,702,17176744,5394629.178,2782731144
1241,19004861,475,32657,766,18972204,7435541.596,4319705179
1142,18749755,493,34111,649,18715644,4682082.485,2568912930
1298,26396137,490,33605,808,26362532,4796351.49,3762653464
1972,38313599,810,55895,1162,38257704,4600704.699,3148982889
2081,42750627,809,55525,1272,42695102,5191156.023,3991660259
199,846613,93,6814,106,839799,757597.5729,93370954.53
213,877157,91,6376,122,870781,1938145.026,264695712.6
189,3066717,91,7757,98,3058960,1752621.596,691143400.6
197,3742921,80,5593,117,3737328,2620966.195,1751369631
562,10340067,243,17063,319,10323004,3366111.725,2036475696
614,12447321,240,16545,374,12430776,3628999.456,2726580801
1418,28603863,616,42535,802,28561328,5523646.223,3709008382
1522,33122805,615,42165,907,33080640,6937357.994,5442718898
1366,35325047,560,38535,806,35286512,3575574.069,3274154335
1474,42219911,555,37893,919,42182018,4049576.399,4507938262
159,1065877,66,4986,93,1060891,1439876.233,306368178.2
178,1103563,64,4548,114,1099015,1335551.569,322733334.9
221,3193654,97,7062,124,3186592,1789408.624,807436307.9
252,3921132,96,6692,156,3914440,2902221.178,1697634589
564,10095431,246,17183,318,10078248,3091825.861,1813431170
590,11643703,243,16677,347,11627026,4046285.655,2821027074
1233,26323217,492,34965,741,26288252,4412040.897,3317169825
1324,30777003,485,33325,839,30743678,5205679.4,4802452551
1660,30724583,655,45195,1005,30679388,3403883.357,2310632995
1762,35451199,653,44857,1109,35406342,3382362.235,2669752192
161,860015,69,4936,92,855079,1062665.624,184088950.5
181,922839,68,4776,113,918063,1129700.919,217155907.6
764,5317255,369,25819,395,5291436,5500928.238,1127379438
811,6222287,368,25461,443,6196826,10799703.38,2628486026
715,12834947,328,23551,387,12811396,5842102.549,3178017461
797,15974281,322,22181,475,15952100,6060268.47,4358415250
1746,32561135,736,50727,1010,32510408,6618905,4241987543
1834,35648437,733,50221,1101,35598216,8714280.155,6176954407
1378,34747203,550,38563,828,34708640,2499014.785,2249239025
1449,38639643,547,37397,902,38602246,2455660.95,2534803008
88,960705,42,4170,46,956535,3680238.465,844191103.2
86,959995,36,2600,50,957395,3176075.842,1169522743
332,3939855,150,10799,182,3929056,2832690.279,1030632349
372,4524813,148,10361,224,4514452,3649800.722,1590276052
295,7868509,118,8177,177,7860332,2533642.238,2435522705
263,5757171,122,9303,141,5747868,3058541.078,1889722712
1651,29565979,686,47223,965,29518756,5168809.481,3230985449
1744,32656997,687,47001,1057,32609996,5264298.64,3652449046
1535,27250069,644,45113,891,27204956,3173192.575,1913562928
1628,32419539,641,43917,987,32375622,3294912.754,2429010402
143,610989,65,5790,78,605199,2360794.422,246761731.1
155,665717,59,4220,96,661497,1895751.417,297164425.3
265,3719295,111,8135,154,3711160,2831482.377,1291712863
311,4967393,109,7697,202,4959696,2964175.768,1910018280
684,12632209,315,22869,369,12609340,5751613.735,3171282222
753,14786657,303,20889,450,14765768,5586083.488,3948624291
1258,25409799,577,39691,681,25370108,6010646.747,3841947976
1327,28682771,576,39321,751,28643450,6684089.99,4869036836
1441,29155806,632,43474,809,29112332,3032114.035,2030452924
1572,35857000,631,43104,941,35813896,3870759.912,3216105070
47,316363,25,2804,22,313559,3547095.152,396656065.9
45,380737,20,1512,25,379225,0,0
259,3436314,101,7242,158,3429072,2707827.995,1282150947
296,4121736,100,6880,196,4114856,2854094.233,1707003892
421,8053521,170,12301,251,8041220,2757377.768,1802510467
460,10502365,166,11441,294,10490924,2893581.619,2653294716
1434,37468059,548,37947,886,37430112,3565387.554,3516822290
1515,40920683,546,37509,969,40883174,4984821.952,5433238509
2388,52627559,979,67059,1409,52560500,4170662.108,3268943553
2480,56100201,978,66789,1502,56033412,4156289.368,3486967533
51,412143,25,2720,26,409423,2877808.972,433176905.4
49,496579,20,1512,29,495067,1842005.118,603119012.9
218,2427803,104,7611,114,2420192,2433672.55,773873976.8
256,3022569,105,7457,151,3015112,3206427.475,1296464792
627,16125961,242,17765,385,16108196,4968826.661,4505422671
659,18057187,236,16201,423,18040986,4823247.99,5371035705
2332,38329551,1040,71367,1292,38258184,7028425.004,3767774700
2396,40100865,1041,71133,1355,40029732,11533198.05,6490248227
2091,45569109,883,61269,1208,45507840,3315370.365,2462507044
2196,50425415,879,59925,1317,50365490,3557063.66,2989624600
60,659052,24,1784,36,657268,0,0
54,527919,23,1708,31,526211,0,0
366,4527739,153,10983,213,4516756,2782461.713,1144286683
404,5415871,155,10909,249,5404962,3138490.534,1554993315
1552,26334741,600,42373,952,26292368,7504388.227,4656458992
1563,26370585,594,40801,969,26329784,7751232.016,5002040752
997,25006561,425,30217,572,24976344,3307875.697,2734177494
1061,28928827,416,28441,645,28900386,3189514.671,3241032493
895,23357577,369,26409,526,23331168,2517314.37,2223934435
965,28109611,362,24769,603,28084842,2451012.164,2779130743
282,701348,106,7372,176,693976,3694274.482,347766932.7
268,653461,108,8158,160,645303,4546198.626,359607209.1
142,2724754,59,4806,83,2719948,2225209.644,1259353833
158,3852062,55,3748,103,3848314,2025647.437,2079863231
855,17365147,358,25031,497,17340116,4167848.61,2887258933
915,19379261,355,24517,560,19354744,6319415.633,4988810695
1921,27670447,796,54811,1125,27615636,6862320.294,3457469109
2146,40545541,796,54509,1350,40491032,8194247.363,6086949535
1803,34278351,764,52603,1039,34225748,4297253.437,2795975766
1924,40299271,758,51893,1166,40247378,4348904.943,3372940881
177,1077293,87,6470,90,1070823,1647290.162,272636196.7
192,1114269,85,6032,107,1108237,1727717.012,317427042.1
210,2647525,91,7649,119,2639876,1547771.563,534177670.5
239,3053563,85,6077,154,3047486,2135574.92,1070945313
631,7879589,271,19909,360,7859680,4861730.572,1919315211
690,10049283,264,18257,426,10031026,4787016.506,2630152108
997,21541891,395,27483,602,21514408,3246056.37,2541097447
1073,24728281,390,26841,683,24701440,3738093.561,3440121226
2628,49076831,1078,74023,1550,49002808,5425670.814,3591763441
2716,52314781,1075,73517,1641,52241264,6632149.874,4712813260
353,1039969,172,12190,181,1027779,3843917.1,324093295.6
377,1090285,170,11752,207,1078533,4534946.792,416192117.8
352,5118421,151,12041,201,5106380,3673683.065,1557945497
373,5906279,142,10097,231,5896182,4223598.483,2466386585
957,17967115,377,26299,580,17940816,5362133.093,3657973428
1012,19538995,375,25861,637,19513134,5597023.455,4223172680
1102,26284311,454,31447,648,26252864,4076171.271,3402905524
1208,30828805,450,30873,758,30797932,4337438.314,4326891791
1273,24562983,490,33931,783,24529052,2891590.866,2090359338
1411,30237005,485,33289,926,30203716,3002360.665,2724096514
42,197666,18,1642,24,196024,165634.6236,19773667.15
57,216648,16,1204,41,215444,283048.4566,50648747.24
292,4672307,128,9563,164,4662744,1646961.959,803028546.6
307,5421499,123,8509,184,5412990,2696966.147,1715671734
1531,25439450,565,38962,966,25400488,5351024.042,3488491915
1548,25608432,564,38684,984,25569748,5954112.629,3935610575
848,23454469,345,24777,503,23429692,2822399.632,2668924974
919,28207323,338,23137,581,28184186,3803228.734,4632878335
2369,43174567,878,60395,1491,43114172,5471282.674,3905783960
2457,46957319,874,59821,1583,46897498,5790480.479,4539527034
77,332277,38,2978,39,329299,760449.0889,84088356.11
89,394937,35,2472,54,392465,800187.6492,127041118.8
115,1432139,60,5215,55,1426924,1890216.395,517199451.4
138,2209640,54,3704,84,2205936,1677405.849,998987567.4
435,5007302,188,13930,247,4993372,2749157.17,985467655.2
472,6930130,177,12308,295,6917822,2535624.058,1425170287
929,21981411,367,25603,562,21955808,2579351.769,2211918611
1032,26627865,363,25029,669,26602836,3999745.511,4251251504
999,24184553,431,30625,568,24153928,2627346.267,2072187186
1110,31744455,420,28713,690,31715742,2746149.292,3033335508
112,448161,54,4730,58,443431,1389648.726,130277658.4
124,499807,49,3404,75,496403,1452540.898,211823049.2
269,4758825,121,9545,148,4749280,3627470.728,1804910862
281,5510187,118,8177,163,5502010,3521088.286,2369214010
792,10823123,339,23735,453,10799388,3358667.44,1528188450
836,12410572,336,23084,500,12387488,4181761.048,2244044135
1677,27849067,673,46427,1004,27802640,4123276.527,2469209144
1770,32233495,673,46133,1097,32187362,6208997.023,4332066738
1463,24137635,621,42851,842,24094784,3225432.738,1813635741
1567,28893495,620,42481,947,28851014,3603342.488,2447213685
80,371073,39,3966,41,367107,1509266.663,139703065.3
77,435169,33,2396,44,432773,1224290.881,221135241.1
173,3279678,75,6062,98,3273616,2098455.358,1133212972
180,3860703,69,4845,111,3855858,2022389.564,1609504020
497,7925198,218,15290,279,7909908,2806606.824,1451929481
549,9429189,220,15361,329,9413828,4052576.648,2483579163
1718,35274295,704,48519,1014,35225776,6275962.386,4556475714
1852,37793163,700,47945,1152,37745218,7441070.605,5858063033
1781,39607057,766,53405,1015,39553652,4494345.334,3328672808
1854,43980635,760,51825,1094,43928810,5147676.611,4363363392
178,1072961,87,6414,91,1066547,1138358.954,189291133.1
194,1109803,85,5976,109,1103827,1723433.855,318335479
245,4230153,113,9001,132,4221152,1939238.139,909434390.3
252,4875997,106,7361,146,4868636,2893379.449,1913708918
702,9042991,309,22307,393,9020684,4189392.093,1694140056
758,10899089,305,21065,453,10878024,5602090.419,2892934917
1050,26656543,406,28063,644,26628480,3684506.137,3496162134
1175,34100063,404,27625,771,34072438,4646332.326,5730746429
1330,28645279,537,37139,793,28608140,3030152.368,2334123783
1445,33759295,534,36633,911,33722662,3113609.884,2866246655
64,298909,32,2534,32,296375,544412.1273,63674090.06
78,323302,30,2096,48,321206,468731.0307,71831688.66
109,2512041,40,2873,69,2509168,1036734.848,905444450.2
95,1648331,41,3219,54,1645112,1250190.427,638926149
304,6964727,126,9095,178,6955632,1742379.681,1332529067
331,8086025,122,8513,209,8077512,2204931.381,2092136696
1520,33712439,603,41699,917,33670740,5370176.374,4336262559
1627,36912501,600,41193,1027,36871308,6921344.435,6195203613
2213,53604191,839,57767,1374,53546424,1492226.358,1383201227
2279,56499003,838,57397,1441,56441606,1514392.5,1489184885
79,350398,39,2998,40,347400,721841.5145,83645010.72
92,394572,37,2540,55,392032,1170796.644,180704626
207,3033633,88,7301,119,3026332,2969195.461,1230758970
243,5771563,81,5661,162,5765902,3220546.644,3280225461
649,11213975,272,19179,377,11194796,4133484.902,2412718090
729,13476315,268,18605,461,13457710,4255799.027,3078382645
1193,17160830,515,35406,678,17125424,4776042.332,2310109868
1296,21076366,511,34916,785,21041450,5732587.932,3454632900
2049,47274249,863,60001,1186,47214248,5378497.919,4232291706
2112,51069775,857,58429,1255,51011346,5505227.641,4806330282
105,313469,48,3642,57,309827,1600804.974,136181384.6
118,340464,46,3340,72,337124,1861175.789,187858391.3
199,3804693,90,7513,109,3797180,2435541.169,1230958101
213,4818499,86,6077,127,4812422,2490420.543,1972182757
489,8557555,202,14407,287,8543148,2835549.24,1681440745
526,9995176,199,13756,327,9981420,2843539.098,2063285695
750,15386377,270,19585,480,15366792,3498078.435,2744663962
845,22205330,263,17892,582,22187438,3313839.461,4109412451
2818,54344831,1119,76787,1699,54268044,6391368.594,4517002514
2892,57198789,1116,76281,1776,57122508,6514120.011,4878054462
24,268038,10,824,14,267214,0,0
20,267456,10,824,10,266632,0,0
315,4809339,147,10499,168,4798840,4018922.122,1836952494
367,5987213,146,10129,221,5977084,4309267.249,2542882054
389,6971807,164,11763,225,6960044,2912573.581,1723339308
441,9442478,161,11112,280,9431366,3171008.218,2691409206
702,17059647,274,19087,428,17040560,2694911.871,2405973041
771,21681819,269,18445,502,21663374,3293274.827,3867901560
1864,52388272,716,48792,1148,52339480,4331843.955,4646795787
1930,56293958,716,48784,1214,56245174,4536146.921,5229919089
95,317296,49,4610,46,312686,709225.8047,48105201.73
104,344788,41,2904,63,341884,588594.8051,69294471.89
85,1907026,31,2418,54,1904608,841982.8382,663212262
105,3276168,29,1980,76,3274188,1009044.196,1668586059
679,12130293,293,20749,386,12109544,3806199.787,2221376634
709,13723792,288,19760,421,13704032,3954047.109,2742226119
612,11696859,264,18587,348,11678272,2646915.883,1663065779
697,15916727,261,18073,436,15898654,2984417.922,2625365348
2471,54914763,965,66307,1506,54848456,5014185.983,4147682134
2547,57764487,963,65877,1584,57698610,5548066.361,4859294097
155,728857,71,6130,84,722727,2432429.765,286783469.3
162,750359,65,4560,97,745799,2244432.617,367082368.6
377,5168413,170,13033,207,5155380,5128636.477,2028701751
410,6205369,164,11461,246,6193908,5849804.571,3161430183
650,13839589,252,17597,398,13821992,4341335.901,3410007961
714,16295213,251,17429,463,16277784,4835960.355,4516536697
1201,24782169,517,36249,684,24745920,4190988.317,2861040625
1286,29005801,512,35149,774,28970652,4792362.761,3949980762
2972,62228216,1226,84560,1746,62143656,6389566.388,4695731027
3026,64774691,1226,83641,1800,64691050,6335730.944,4900289180
161,1073253,69,5190,92,1068063,1219123.323,250886418.9
180,1111949,67,4752,113,1107197,1400901.683,326404490.9
138,1855412,60,5084,78,1850328,1415586.945,515204594.8
151,2897931,56,3961,95,2893970,2333088.082,1704591496
1139,21554627,422,29391,717,21525236,7110622.301,5207642582
1190,22779677,420,28953,770,22750724,7569471.628,5947948739
397,9980735,162,11371,235,9969364,1792859.952,1571864697
454,13368702,161,10956,293,13357746,1922259.128,2343651805
874,18038151,370,25807,504,18012344,2218321.848,1548307677
979,23330983,367,25301,612,23305682,2214333.981,2039704502
177,904881,69,5146,108,899735,626421.1946,109524499.3
191,935425,67,4708,124,930717,981264.5531,193984622.1
239,4965905,102,8253,137,4957652,1329633.382,798722839.9
244,5405863,97,6749,147,5399114,2776064.19,2220815977
1013,17450719,354,24803,659,17425916,3327860.582,2338064708
1062,18485489,350,24221,712,18461268,5294040.295,4035122278
652,19532226,235,16190,417,19516036,2907773.863,3505140173
689,21366751,236,16201,453,21350550,2915986.743,3842844315
1425,25784175,664,45739,761,25738436,3020664.049,1699800352
1545,31418963,665,45505,880,31373458,3125297.928,2154739112
177,1075312,82,6854,95,1068458,1290411.767,201160019.7
188,1104792,76,5284,112,1099508,1163684.798,242142457.4
367,7012233,152,11653,215,7000580,2737759.046,1644718203
375,7545067,146,10081,229,7534986,3396385.255,2538608804
1026,17372110,394,27366,632,17344744,4022620.22,2549562155
1063,18878873,393,27141,670,18851732,5026226.994,3491141972
1087,25728659,427,29947,660,25698712,4068367.65,3491228121
1161,28599619,424,29037,737,28570582,4519188.927,4446597714
1180,29844384,465,32204,715,29812180,2613392.806,2419293776
1292,35416410,462,31496,830,35384914,2865378.846,3219176532
240,5322888,103,7004,137,5315884,6201565.488,4706853620
248,5898608,102,6936,146,5891672,6142887.903,5217975874
181,1074569,71,5282,110,1069287,655046.5355,132607486.7
195,1105113,69,4844,126,1100269,1699776.084,386088136.3
506,9537563,202,14299,304,9523264,2442405.638,1626664360
525,9687937,200,13861,325,9674076,3218271.685,2246144208
555,11308225,238,17501,317,11290724,2873576.665,1853880408
596,13548087,230,15793,366,13532294,2744737.739,2351839298
1415,22837431,678,46811,737,22790620,7188382.603,3499769206
1623,30287453,677,46441,946,30241012,8235735.401,5362868437
1362,30221395,553,38263,809,30183132,3285054.291,2591360512
1483,35821649,550,37757,933,35783892,3341122.199,3166521596
177,1074337,76,5662,101,1068675,538814.9779,101698710.1
194,1114631,74,5224,120,1109407,1173447.746,249201980
139,1511641,68,5941,71,1505700,1234289.769,312821091.5
140,1836647,62,4369,78,1832278,2480218.286,1040157794
736,12959947,289,20287,447,12939660,2532182.524,1615102328
774,14063307,288,19917,486,14043390,2619227.659,1846806020
1207,26218873,483,33745,724,26185128,4662423.106,3617903270
1307,30489453,479,32809,828,30456644,4659066.98,4325018878
1501,32252237,633,44565,868,32207672,3595748.037,2598691201
2851,67542573,1145,78373,1706,67464200,13692.23352,11786400.68
208,1082209,103,7470,105,1074739,1540958.396,221703893.6
230,1132389,101,7032,129,1125357,1758681.434,281448302.4
534,9396231,221,15627,313,9380604,3097967.344,1859653475
559,9629123,219,15189,340,9613934,5957880.036,3771062311
360,8835837,146,11245,214,8824592,3065903.672,2405989241
2469,49047795,944,64477,1525,48983318,11192.11289,8502672.657
1362,23759695,606,41855,756,23717840,3621786.772,2052346414
1471,28333347,610,41825,861,28291522,3974235.126,2688276402
1346,34445931,548,37827,798,34408104,2971225.487,2702678922
1470,40032425,544,37241,926,39995184,3335787.633,3582488123
64,459201,35,3694,29,455507,4254384.311,524607968.1
65,659681,29,2124,36,657557,3030401.389,938164616.9
618,10141637,261,19861,357,10121776,8018916.989,4086686548
623,10249081,251,17445,372,10231636,8063029.83,4729033320
852,13496771,403,28039,449,13468732,6718901.157,3227471701
974,17257231,398,27397,576,17229834,7633910.828,4800927705
812,18954237,349,25049,463,18929188,2572986.828,1944371088
914,25517167,344,23545,570,25493622,2544488.289,2755074225
1455,34970437,606,42609,849,34927828,2787158.535,2284714354
1509,38054181,596,40753,913,38013428,2886104.491,2692089546
109,393077,54,4986,55,388091,1188526.146,92510288.91
118,452157,49,3484,69,448673,1531970.401,197288678.4
724,10571039,270,19079,454,10551960,4728548.531,2615202839
745,10621069,268,18641,477,10602428,5025468.545,2858332086
691,11784374,260,18818,431,11765556,4722731.663,2952787961
745,12913981,257,17809,488,12896172,4753674.562,3442315952
1154,20059427,459,31847,695,20027580,5114726.206,3216490981
1261,24291035,459,31545,802,24259490,5456357.872,4196178768
1425,31476411,587,40547,838,31435864,3298003.215,2556923584
1560,38047345,585,40109,975,38007236,3382561.042,3205310424
194,1099149,83,6250,111,1092899,875629.7222,153115975.7
212,1142693,81,5812,131,1136881,1547586.247,302722195.4
596,7883311,224,15991,372,7867320,2880019.739,1416924326
622,8142687,223,15621,399,8127066,4257887.149,2215231412
642,13354837,283,20561,359,13334276,4131307.192,2679246649
673,15207267,277,18989,396,15188278,4081910.239,3264900073
777,19705233,323,24729,454,19680504,3534787.881,2813150836
865,25584499,316,21641,549,25562858,3183951.39,3760958240
1996,34134315,779,53767,1217,34080548,4284393.16,2715689303
2098,37919431,774,53125,1324,37866306,4585164.819,3268202430
182,1076085,85,6234,97,1069851,873463.4919,149899870.1
199,1113197,83,5796,116,1107401,1611157.46,307832536.6
168,2438733,72,6213,96,2432520,1539428.005,602718398.7
179,3452219,66,4641,113,3447578,2488815.146,1848822311
773,13954767,300,21059,473,13933708,4557146.238,3015240277
842,15884695,302,20893,540,15863802,4797601.819,3642760989
996,20005770,433,29838,563,19975932,4842340.243,3241847959
1071,23597064,428,29196,643,23567868,4948781.988,3994802050
1594,35714151,694,47647,900,35666504,4616764.328,3455912090
1821,44503657,693,47269,1128,44456388,8192.999908,7705497.954
161,1076153,70,5262,91,1070891,1132708.159,230522039.7
164,1086277,68,4824,96,1081453,1758657.922,394259097.5
763,9384439,311,21855,452,9362584,4978962.431,2132965179
787,9599425,309,21417,478,9578008,6251549.104,2795787801
409,9429798,163,11502,246,9418296,2345123.02,1920280191
434,10960108,162,11132,272,10948976,2849363.638,2802516537
813,19107815,372,26403,441,19081412,2960205.733,2139336636
871,22366755,367,25101,504,22341654,4259328.108,3791101345
1280,28122263,545,37707,735,28084556,3215000.334,2394564853
1369,31990409,543,37269,826,31953140,3421255.078,2933264711
184,1079093,77,5666,107,1073427,1168981.29,221464186.2
206,1129273,75,5228,131,1124045,1254412.97,269704787.1
578,7928503,211,15011,367,7913492,2489840.343,1312592874
608,8447413,209,14573,399,8432840,4307570.845,2492627168
687,14502425,289,20969,398,14481456,4903793.111,3386621402
714,16235039,282,19329,432,16215710,4858799.238,4076200496
1060,22165345,467,32413,593,22132932,3887180.327,2654326901
1116,25555739,461,31493,655,25524246,3832519.285,3106155813
1881,33653767,828,56891,1053,33596876,3615300.759,2135009251
2034,40952237,829,56657,1205,40895580,3660087.162,2641886922
186,1075888,91,7430,95,1068458,1555617.744,223702856.5
197,1105368,85,5860,112,1099508,1292433.297,242498421.3
380,5169745,179,13621,201,5156124,2398935.898,908098594.8
410,5657061,173,12049,237,5645012,2724590.078,1276483002
356,7531962,164,11954,192,7520008,2788570.802,1754230780
378,8912437,161,11101,217,8901336,2725864.825,2185734502
1166,20787159,471,32675,695,20754484,4992993.764,3171446341
1243,23856069,468,32169,775,23823900,5131204.999,3800096825
1391,26914339,601,41563,790,26872776,3592947.405,2323039020
1508,32013625,599,41117,909,31972508,3706042.349,2881812113
172,1075433,77,5718,95,1069715,668461.7304,125054833.8
190,1118977,75,5280,115,1113697,1481037.098,312391396.3
550,7311011,263,18471,287,7292540,2706232.218,1068448200
602,8452757,259,17897,343,8434860,3823702.571,1802111855
388,6923477,156,11925,232,6911552,2169214.562,1257244381
432,9925735,152,10489,280,9915246,3020540.445,2855315242
1307,18432791,542,37699,765,18395092,4635647.786,2261947731
1378,21842161,542,37397,836,21804764,6119494.933,3568044036
1542,24188495,658,45495,884,24143000,2740604.991,1454366992
1668,30405159,654,44921,1014,30360238,3558873.752,2405294943
118,432461,57,4306,61,428155,676507.6721,67266637.8
133,515881,55,3868,78,512013,1438232.929,190381064.3
473,6491279,172,12291,301,6478988,1507467.89,794635617.1
501,6903797,170,11853,331,6891944,2296417.227,1335255119
697,9333714,293,22242,404,9311472,3894336.659,1630339302
737,11417217,286,19649,451,11397568,4687684.287,2719130766
1534,30900047,659,45467,875,30854580,1224403.52,830898373.7
1623,35064325,656,44961,967,35019364,1343277.594,1046256245
1691,35075341,724,50817,967,35024524,4023216.446,2772915382
1797,39809693,719,49313,1078,39760380,4634497.402,3736730229
72,439976,35,3492,37,436484,985304.4466,123158541.3
72,569638,30,2192,42,567446,664368.6543,171986010.7
130,2112684,60,5084,70,2107600,2660056.987,1102741169
144,3222343,55,3893,89,3218450,2307846.099,1907959742
159,3177642,62,4526,97,3173116,1370033.802,960511749.7
183,4743106,61,4156,122,4738950,1395969.692,1591778289
1170,29685927,448,30919,722,29655008,5456708.105,5233633769
1249,34594027,446,30481,803,34563546,5729654.654,6497069722
1351,25110131,602,41543,749,25068588,3712994.125,2240558457
1476,33172994,595,40608,881,33132386,3695414.127,3015117397
151,700161,55,4194,96,695967,943422.3286,156554794.4
176,771869,54,3824,122,768045,967278.8033,194276581.7
353,5337957,146,12105,207,5325852,2234543.129,983134737.3
371,5987733,138,9833,233,5977900,2790660.087,1696561266
338,6791395,150,10827,188,6780568,1815434.513,1136942566
448,9614804,151,10585,297,9604219,21079.19782,19126049.34
1232,35451597,485,34297,747,35417300,4067058.558,4199907662
1557,50984713,477,32581,1080,50952132,64410.56952,100729131.7
987,25430801,425,30217,562,25400584,2640621.137,2219721316
