0.590355,0.626496,0.538892,0.538139,0.570808,0.626495,0.637397,0.824391
0.602818,0.647101,0.538892,0.538139,0.590791,0.647124,0.637429,0.85158
0.049851,0.0134632,0.0553827,0.0596734,0.0417029,0.0133993,0.0738601,0.0184252
0.0544568,0.0139269,0.0541381,0.0556708,0.0499566,0.013869,0.110878,0.0306878
0.0899485,0.0493292,0.0952085,0.100257,0.0781929,0.0492517,0.125014,0.0682284
0.10214,0.0549907,0.0945862,0.0968756,0.0981755,0.0549245,0.220187,0.138689
0.190463,0.167781,0.176105,0.189429,0.182884,0.16772,0.369228,0.363189
0.202384,0.189618,0.169882,0.172468,0.206342,0.189606,0.487626,0.595566
0.243295,0.272866,0.228998,0.232059,0.230669,0.27287,0.218838,0.285878
0.264427,0.310592,0.227754,0.229309,0.265421,0.310644,0.263945,0.397244
0.298564,0.294767,0.312383,0.324311,0.261077,0.29467,0.28288,0.285547
0.33541,0.364556,0.309894,0.311188,0.321894,0.364559,0.282632,0.367846
0.0484963,0.0125284,0.0441817,0.0476108,0.0473501,0.0124799,0.0657369,0.0191433
0.0522894,0.01291,0.0423149,0.0429868,0.054735,0.0128683,0.101991,0.0339197
0.0682742,0.0735624,0.0634723,0.0754188,0.0655951,0.0735473,0.160627,0.174022
0.0682742,0.0757742,0.0597386,0.0610533,0.0682016,0.0757813,0.217136,0.299423
0.16608,0.112504,0.168015,0.173364,0.149435,0.112401,0.269771,0.194315
0.182877,0.132818,0.166148,0.16874,0.177672,0.132745,0.476002,0.416017
0.333243,0.312276,0.334163,0.341125,0.301477,0.312176,0.29068,0.29553
0.348957,0.355428,0.331052,0.330662,0.328844,0.355393,0.296957,0.354584
0.310756,0.364666,0.28687,0.299162,0.298436,0.364686,0.245224,0.332105
0.337036,0.431166,0.280025,0.281689,0.345352,0.431287,0.253282,0.430824
0.0270929,0.00995935,0.0286248,0.0335012,0.0238923,0.00992715,0.0827891,0.0272545
0.0276348,0.00996462,0.0280025,0.03012,0.0251955,0.00993706,0.218068,0.0799273
0.0782986,0.0407193,0.0858743,0.0989957,0.0660295,0.0406335,0.237399,0.108255
0.0831753,0.0461601,0.0815184,0.0840088,0.0768897,0.0461012,0.358683,0.218674
0.224329,0.184395,0.219042,0.225087,0.207211,0.184305,0.402911,0.36652
