Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A
10.0.0.4,54230,10.0.0.3,80,94,807061,33,2399,61,804662,6.31414855,0.006177313,3106852.445,1042086745
10.0.0.4,54234,10.0.1.1,80,105,221867,46,4611,59,217256,6.322296913,0.014282867,2582674.753,121687613.6
10.0.0.4,54234,10.0.0.2,80,114,257997,40,3035,74,254962,6.327602022,0.008981913,2703210.329,227089262.6
10.0.0.4,54238,10.0.1.1,80,16,2659,11,2071,5,588,6.33508897,0.008751732,1893110.986,537493.607
10.0.0.4,54238,10.0.0.3,80,18,3267,5,495,13,2772,6.337513626,0.006264534,632130.0196,3539928.11
10.0.0.4,54244,10.0.1.1,80,78,209657,47,7337,31,202320,6.345136548,0.007630214,7692575.857,212125112.1
10.0.0.4,54244,10.0.0.3,80,62,204885,29,2127,33,202758,6.346218112,0.006541508,2601235.067,247964842.4
10.0.0.4,54258,10.0.1.1,80,437,4773966,212,15037,225,4758929,6.354212126,0.025942452,4637032.768,1467534063
10.0.0.4,54258,10.0.0.3,80,502,5911754,210,14599,292,5897155,6.357926485,0.022230307,5253728.615,2122203710
10.0.0.4,54260,10.0.1.1,80,57,205471,28,3287,29,202184,6.379904423,0.020326846,1293658.642,79573191.04
10.0.0.4,54260,10.0.0.2,80,52,204551,22,1711,30,202840,6.381707336,0.018526214,738844.9685,87590481.25
10.0.0.4,54270,10.0.1.1,80,113,231473,50,3809,63,227664,6.389933202,0.023011777,1324191.522,79146951.58
10.0.0.4,54270,10.0.0.3,80,145,307815,48,3371,97,304444,6.40062763,0.012318238,2189274.148,197719186.8
10.0.0.4,54284,10.0.1.1,80,18,2845,12,2139,6,706,6.409432795,0.007755898,2206320.919,728219.9946
10.0.0.4,54284,10.0.0.1,80,14,1707,6,563,8,1144,6.414030669,0.003152056,0,0
10.0.0.4,54286,10.0.1.1,80,16,2649,11,2071,5,578,6.41814897,0.01152408,1437685.264,401246.7807
10.0.0.4,54286,10.0.0.3,80,18,3237,5,495,13,2742,6.422285785,0.007327701,540415.0633,2993571.927
10.0.0.4,54296,10.0.1.1,80,104,710714,49,6762,55,703952,6.43075155,0.009484795,5703444.302,593751999.9
10.0.0.4,54296,10.0.0.3,80,94,707061,37,2671,57,704390,6.434093357,0.006139582,3480367.23,917834471.5
10.0.0.4,54310,10.0.1.1,80,160,427957,82,7985,78,419972,6.44161772,0.009485831,6734254.49,354188895
10.0.0.4,54310,10.0.0.3,80,159,459503,70,5143,89,454360,6.443036769,0.008063949,5102214.808,450756819
10.0.0.4,54316,10.0.1.1,80,13,1589,7,933,6,656,6.450002387,0.008344998,894428.0154,628879.7193
10.0.0.4,54316,10.0.0.3,80,21,4161,5,495,16,3666,6.451505662,0.006783699,583752.3157,4323305.029
10.0.0.4,54328,10.0.1.1,80,12,1571,7,933,5,638,6.459540575,0.014528488,513749.2628,351309.7853
10.0.0.4,54328,10.0.0.2,80,18,3417,5,495,13,2922,6.467268075,0.006755334,586203.4357,3460376.645
10.0.0.4,54332,10.0.1.1,80,151,824101,59,4601,92,819500,6.475344361,0.012754797,2885816.215,514002692.5
10.0.0.4,54332,10.0.0.3,80,166,854739,57,4163,109,850576,6.476224202,0.011875966,2804319.244,572973011.2
10.0.0.4,54336,10.0.1.1,80,33,14827,18,1805,15,13022,6.489140712,0.005515282,2618179.814,18888608.05
10.0.0.4,54336,10.0.0.3,80,32,15045,16,1367,16,13678,6.492461326,0.002192442,0,0
10.0.0.4,54346,10.0.1.1,80,143,239257,71,5201,72,234056,6.49555664,0.017582213,2366482.536,106496719.2
10.0.0.4,54346,10.0.0.2,80,185,345035,69,4763,116,340272,6.496207501,0.016933025,2250277.195,160761352.4
10.0.0.4,54356,10.0.1.1,80,181,827581,72,5477,109,822104,6.506211563,0.020526679,2134587.87,320404094.6
